排名,IP地址,地区码,地区,延迟(ms),下载速度(MB/s),端口,测速类型
1,104.21.25.208,IAD,美国阿什本,5.66,121.79,443,完全测速
2,104.21.22.63,IAD,美国阿什本,5.71,102.36,443,完全测速
3,104.27.15.162,IAD,美国阿什本,5.67,91.73,443,完全测速
4,162.159.136.231,IAD,美国阿什本,5.67,83.06,443,完全测速
5,104.21.38.130,IAD,美国阿什本,5.63,77.19,443,完全测速
6,104.21.10.157,IAD,美国阿什本,5.51,74.77,443,完全测速
7,162.159.195.179,IAD,美国阿什本,5.69,65.87,443,完全测速
8,104.27.23.156,IAD,美国阿什本,5.62,60.21,443,完全测速
9,172.64.151.238,IAD,美国阿什本,5.60,60.17,443,完全测速
10,162.159.128.4,IAD,美国阿什本,5.70,56.67,443,完全测速
11,104.27.85.8,IAD,美国阿什本,5.54,55.67,443,完全测速
12,104.21.21.15,IAD,美国阿什本,5.57,54.03,443,完全测速
13,162.159.136.223,IAD,美国阿什本,5.68,42.35,443,完全测速
14,162.159.224.187,IAD,美国阿什本,5.72,39.61,443,完全测速
15,172.65.28.23,UNKNOWN,未知地区,5.59,0.00,443,完全测速
16,172.65.29.96,UNKNOWN,未知地区,5.61,0.00,443,完全测速
17,172.65.26.171,UNKNOWN,未知地区,5.69,0.00,443,完全测速
18,172.65.17.231,UNKNOWN,未知地区,5.70,0.00,443,完全测速
19,172.65.22.11,UNKNOWN,未知地区,5.70,0.00,443,完全测速
20,172.65.25.56,UNKNOWN,未知地区,5.71,0.00,443,完全测速
